card_name,db_name,gw_sku,faction,include
Apothecary Biologis,,,Dark Angels,Yes
Asmodai,Dark Angels Asmodai,SKU: 44-03,Dark Angels,Yes
Astraeus,,,Dark Angels,Yes
Azrael,Dark Angels Azrael,SKU: 44-04,Dark Angels,Yes
Belial,Dark Angels Belial,SKU: 44-05,Dark Angels,Yes
Bladeguard Ancient,,,Dark Angels,Yes
Deathwing Knights,Dark Angels Deathwing Knights,SKU: 44-10,Dark Angels,Yes
Deathwing Terminator Squad,Dark Angels Deathwing Knights,SKU: 44-10,Dark Angels,Yes
Ezekiel,Dark Angels Ezekiel,SKU: 44-02,Dark Angels,Yes
Inner Circle Companions,Dark Angels Inner Circle Companions,SKU: 44-13,Dark Angels,Yes
Judiciar,,,Dark Angels,Yes
Land Speeder Vengeance,Dark Angels Land Speeder Vengeance,SKU: 44-16,Dark Angels,Yes
Lazarus,Dark Angels Lazarus,SKU: 44-07,Dark Angels,Yes
Lieutenant in Phobos Armour,,,Dark Angels,Yes
Lieutenant with Combi-weapon,,,Dark Angels,Yes
Lion El'Jonson,Dark Angels Lion El'Jonson,SKU: 44-06,Dark Angels,Yes
Nephilim Jetfighter,Dark Angels Nephilim Jetfighter,SKU: 44-17,Dark Angels,Yes
Ravenwing Black Knights,Dark Angels Ravenwing Black Knights,SKU: 44-12,Dark Angels,Yes
Ravenwing Command Squad,Dark Angels Ravenwing Command Squad,SKU: 44-09,Dark Angels,Yes
Ravenwing Dark Talon,Dark Angels Ravenwing Dark Talon,SKU: 44-14,Dark Angels,Yes
Ravenwing Darkshroud,Dark Angels Ravenwing Dark Talon,SKU: 44-14,Dark Angels,Yes
Sammael,Dark Angels Sammael,SKU: 44-08,Dark Angels,Yes
Suppressor Squad,,,Dark Angels,Yes
Thunderhawk Gunship,,,Dark Angels,Yes
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Dark Angels,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Dark Angels,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Dark Angels,Yes
Librarian in Terminator Armour,Blood Angels Librarian in Terminator Armour,SKU: 41-28,Dark Angels,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Dark Angels,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Dark Angels,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Dark Angels,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Dark Angels,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Dark Angels,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Dark Angels,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Dark Angels,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Dark Angels,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Dark Angels,Yes
Drop Pod,Drop Pods,SKU: 48-112,Dark Angels,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Dark Angels,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Dark Angels,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Dark Angels,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Dark Angels,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Dark Angels,Yes
Invictor Tactical Warsuit,Invictor Tactical Warsuit,SKU: 48-118,Dark Angels,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Dark Angels,Yes
Lieutenant in Reiver Armour,Lieutenant in Reiver Armour,SKU: 48-121,Dark Angels,Yes
Librarian in Phobos Armour,Primaris Librarian in Phobos Armour,SKU: 48-125,Dark Angels,Yes
Razorback,Razorback,SKU: 48-126,Dark Angels,Yes
Reiver Squad,Reiver Squad,SKU: 48-127,Dark Angels,Yes
Rhino,Rhino,SKU: 48-128,Dark Angels,Yes
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Dark Angels,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Dark Angels,Yes
Apothecary,Space Marine Apothecary,SKU: 48-33,Dark Angels,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Dark Angels,Yes
Ballistus Dreadnought,Space Marine Ballistus Dreadnought,SKU: 48-46,Dark Angels,Yes
Bladeguard Veteran Squad,Space Marine Bladeguard Veterans,SKU: 48-38,Dark Angels,Yes
Brutalis Dreadnought,Space Marine Brutalis Dreadnought,SKU: 48-44,Dark Angels,Yes
Chaplain,Space Marine Chaplain,SKU: 48-32,Dark Angels,Yes
Chaplain in Terminator Armour,Space Marine Chaplain in Terminator Armour,SKU: HA-051,Dark Angels,Yes
Company Heroes,Space Marine Company Heroes,SKU: 48-37,Dark Angels,Yes
Devastator Squad,Space Marine Devastator Squad,SKU: 48-15,Dark Angels,Yes
Eradicator Squad,Space Marine Eradicators,SKU: 48-39,Dark Angels,Yes
Firestrike Servo-Turrets,Space Marine Firestrike Servo-Turrets,SKU: 48-28,Dark Angels,Yes
Hammerfall Bunker,Space Marine Hammerfall Bunker,SKU: 48-27,Dark Angels,Yes
Impulsor,Space Marine Impulsor,SKU: 48-94,Dark Angels,Yes
Inceptor Squad,Space Marine Inceptors,SKU: 48-97,Dark Angels,Yes
Incursor Squad,Space Marine Incursors,SKU: 48-96,Dark Angels,Yes
Infernus Squad,Space Marine Infernus Squad,SKU: 48-45,Dark Angels,Yes
Infiltrator Squad,Space Marine Infiltrators,SKU: 48-41,Dark Angels,Yes
Intercessor Squad,Space Marine Intercessors,SKU: 48-75,Dark Angels,Yes
Invader ATV,Space Marine Invader ATV,SKU: 48-42,Dark Angels,Yes
Land Raider,Space Marine Land Raider Crusader,SKU: 48-22,Dark Angels,Yes
Land Raider Crusader,Space Marine Land Raider Crusader,SKU: 48-22,Dark Angels,Yes
Librarian,Space Marine Librarian,SKU: 48-30,Dark Angels,Yes
Outrider Squad,Space Marine Outriders,SKU: 48-40,Dark Angels,Yes
Predator Annihilator,Space Marine Predator,SKU: 48-23,Dark Angels,Yes
Predator Destructor,Space Marine Predator,SKU: 48-23,Dark Angels,Yes
Eliminator Squad,Space Marine Primaris Eliminators,SKU: 48-98,Dark Angels,Yes
Lieutenant,Space Marine Primaris Lieutenant,SKU: 48-61,Dark Angels,Yes
Redemptor Dreadnought,Space Marine Redemptor Dreadnought,SKU: 48-93,Dark Angels,Yes
Repulsor,Space Marine Repulsor Executioner,SKU: 48-95,Dark Angels,Yes
Repulsor Executioner,Space Marine Repulsor Executioner,SKU: 48-95,Dark Angels,Yes
Scout Squad,Space Marine Scouts,SKU: 48-29,Dark Angels,Yes
Sternguard Veteran Squad,Space Marine Sternguard Veteran Squad,SKU: 48-43,Dark Angels,Yes
Tactical Squad,Space Marine Tactical Squad,SKU: 48-07,Dark Angels,Yes
Terminator Squad,Space Marine Terminator Squad,SKU: 48-06,Dark Angels,Yes
Vanguard Veteran Squad with Jump Packs,Space Marine Vanguard Veteran Squad,SKU: 48-08,Dark Angels,Yes
Vindicator,Space Marine Vindicator,SKU: 48-26,Dark Angels,Yes
Whirlwind,Space Marine Whirlwind,SKU: 48-25,Dark Angels,Yes
Storm Speeder Hailstrike,Storm Speeder Hailstrike,SKU: 48-131,Dark Angels,Yes
Storm Speeder Hammerstrike,Storm Speeder Hammerstrike,SKU: 48-132,Dark Angels,Yes
Storm Speeder Thunderstrike,Storm Speeder Thunderstrike,SKU: 48-133,Dark Angels,Yes
Stormhawk Interceptor,Stormhawk Interceptor,SKU: 48-129,Dark Angels,Yes
Stormraven Gunship,Stormraven Gunship,SKU: 48-130,Dark Angels,Yes
Stormtalon Gunship,Stormtalon Gunship,SKU: 48-134,Dark Angels,Yes
Techmarine,Techmarine,SKU: 48-135,Dark Angels,Yes
Terminator Assault Squad,Terminator Assault Squad,SKU: 48-136,Dark Angels,Yes
Dreadnought,Venerable Dreadnought,SKU: 48-137,Dark Angels,Yes
